epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2920.21,1.82931,2.12135,1.29985,0.67667,0.6197,0.66477,0.37065,1.71942,5.37999,1.25659,0.000665459,0.000665459,0.000665459
2,41412.5,1.69069,1.52852,1.23423,0.68896,0.68775,0.71901,0.38701,1.6287,3.0745,1.21717,0.00130575,0.00130575,0.00130575
3,44106.4,1.66674,1.45027,1.21829,0.69426,0.71539,0.74182,0.42509,1.5943,2.43408,1.22345,0.00191964,0.00191964,0.00191964
4,46740.3,1.63125,1.41622,1.2014,0.69557,0.68052,0.70272,0.37443,1.76629,2.38442,1.28893,0.0018812,0.0018812,0.0018812
5,49337.9,1.58821,1.37129,1.18685,0.72173,0.70977,0.7508,0.43713,1.45203,2.09734,1.12031,0.0018416,0.0018416,0.0018416
6,51995.7,1.54418,1.3001,1.1629,0.69668,0.71719,0.74136,0.4146,1.56333,1.85546,1.19681,0.001802,0.001802,0.001802
7,54759.4,1.52334,1.26646,1.15126,0.71953,0.75701,0.77298,0.4607,1.57216,1.65097,1.17581,0.0017624,0.0017624,0.0017624
8,57642.4,1.50552,1.24014,1.14281,0.69832,0.69536,0.73385,0.43137,1.5912,1.66749,1.19139,0.0017228,0.0017228,0.0017228
9,60611.5,1.49089,1.23936,1.13695,0.74861,0.7466,0.78291,0.47032,1.51172,1.46174,1.1577,0.0016832,0.0016832,0.0016832
